KOMK;TID;INDHOLD
Hele landet;2023;42,2
Region Hovedstaden;2023;40,5
København;2023;36,5
Frederiksberg;2023;40,5
Dragør;2023;44,9
Tårnby;2023;41,8
Albertslund;2023;40,7
Ballerup;2023;42,3
Brøndby;2023;41,1
Gentofte;2023;43,2
Gladsaxe;2023;40,1
Glostrup;2023;41,4
Herlev;2023;41,5
Hvidovre;2023;40,5
Høje-Taastrup;2023;40,1
Ishøj;2023;39,7
Lyngby-Taarbæk;2023;41,6
Rødovre;2023;40,8
Vallensbæk;2023;40,1
Allerød;2023;42,8
Egedal;2023;41,6
Fredensborg;2023;44,2
Frederikssund;2023;45,6
Furesø;2023;42,9
Gribskov;2023;47,7
Halsnæs;2023;47,2
Helsingør;2023;45,6
Hillerød;2023;41,9
Hørsholm;2023;47,1
Rudersdal;2023;43,9
Bornholm;2023;48,6
Christiansø;2023;42,7
Region Sjælland;2023;44,5
Greve;2023;42,9
Køge;2023;42,8
Lejre;2023;43,7
Roskilde;2023;42,4
Solrød;2023;41,7
Faxe;2023;44,9
Guldborgsund;2023;47,0
Holbæk;2023;43,5
Kalundborg;2023;45,8
Lolland;2023;49,0
Næstved;2023;43,9
Odsherred;2023;49,7
Ringsted;2023;42,2
Slagelse;2023;43,9
Sorø;2023;44,0
Stevns;2023;46,2
Vordingborg;2023;47,7
Region Syddanmark;2023;43,4
Assens;2023;45,2
Faaborg-Midtfyn;2023;45,3
Kerteminde;2023;46,3
Langeland;2023;52,2
Middelfart;2023;44,9
Nordfyns;2023;45,4
Nyborg;2023;45,6
Odense;2023;40,0
Svendborg;2023;44,6
Ærø;2023;52,7
Billund;2023;43,3
Esbjerg;2023;43,0
Fanø;2023;51,3
Fredericia;2023;43,5
Haderslev;2023;44,8
Kolding;2023;41,9
Sønderborg;2023;45,5
Tønder;2023;46,0
Varde;2023;44,3
Vejen;2023;43,2
Vejle;2023;41,6
Aabenraa;2023;45,0
Region Midtjylland;2023;41,6
Favrskov;2023;41,5
Hedensted;2023;43,2
Horsens;2023;40,9
Norddjurs;2023;46,3
Odder;2023;44,7
Randers;2023;42,8
Samsø;2023;51,8
Silkeborg;2023;41,7
Skanderborg;2023;40,7
Syddjurs;2023;45,6
Aarhus;2023;38,0
Herning;2023;42,2
Holstebro;2023;42,4
Ikast-Brande;2023;42,4
Lemvig;2023;47,0
Ringkøbing-Skjern;2023;44,2
Skive;2023;45,6
Struer;2023;46,6
Viborg;2023;42,8
Region Nordjylland;2023;43,4
Brønderslev;2023;43,6
Frederikshavn;2023;47,3
Hjørring;2023;45,3
Jammerbugt;2023;45,2
Læsø;2023;54,7
Mariagerfjord;2023;45,2
Morsø;2023;46,3
Rebild;2023;41,8
Thisted;2023;44,8
Vesthimmerlands;2023;45,1
Aalborg;2023;40,3
